name	fen	perft_depth
starting_position	rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1	3
kiwipete	r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1	3
en_passant_rook_ending	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	3
castling_promotion_pins	r3k2r/Pppp1ppp/1b3nbN/nP6/BBP1P3/q4N2/Pp1P2PP/R2Q1RK1 w kq - 0 1	3
promotion_check_evasion	rnbq1k1r/pp1Pbppp/2p5/8/2B5/8/PPP1NnPP/RNBQK2R w KQ - 1 8	3
tactical_positional	r4rk1/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N2/1PP1QPPP/R4RK1 w - - 0 10	3
all_castles	r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1	2
castling_while_checked	6k1/8/8/8/8/8/8/R2rK2R w KQ - 0 1	2
rook_capture_castling_rights	r3k2r/8/8/8/8/8/7q/R3K2R b KQkq - 0 1	2
en_passant_valid	7k/8/8/3pP3/8/8/8/7K w - d6 0 1	2
en_passant_horizontal_pin	7k/8/8/r4pPK/8/8/8/8 w - f6 0 1	2
en_passant_diagonal_pin	7b/8/8/3pP3/8/8/1K6/7k w - d6 0 1	2
quiet_and_capture_promotions	1r5k/P7/8/8/8/8/8/7K w - - 0 1	2
double_check	4r1k1/8/8/8/1b6/8/8/4K3 w - - 0 1	2
absolute_pin	4r1k1/8/8/8/8/8/4R3/4K3 w - - 0 1	2
